date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:04	95/95	U-----	200	untouched ('OK')	text/plain	etag:W/%2261a6b463e4dbf39f364beb51c4571add%22	https://academo.org/robots.txt		(from )
13:10:04	14209/14209	U-----	200	untouched ('OK')	text/html	date:Thu,%2005%20Mar%202020%2012:13:14%20GMT	https://academo.org/demos/logic-gate-simulator/	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/index.html	(from )
13:10:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2022%20Apr%202020%2007:40:04%20GMT	http://contextual.media.net/dmedianet.js?cid=8CUN6154D	E:/My%20Web%20Sites/PS1/contextual.media.net/dmedianet.39d1b.delayed	(from https://academo.org/demos/logic-gate-simulator/)
13:10:05	17398/17398	U-----	200	untouched ('OK')	text/css	etag:%22fd411a18f297a3f91f2c202d08d4db63%22	https://academo.org/scss/main.css?v=1583410376	E:/My%20Web%20Sites/PS1/academo.org/scss/main45bf.css	(from https://academo.org/demos/logic-gate-simulator/)
13:10:05	1079/1079	U-----	200	untouched ('')	image/png	etag:%222006020adcc1e3549cb92fbce4112ba1%22	https://academo.org/demos/logic-gate-simulator/graph-paper.png	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/graph-paper.png	(from https://academo.org/demos/logic-gate-simulator/)
13:10:06	399606/399606	U--MCZ	200	updated ('OK')	text/javascript	date:Wed,%2022%20Apr%202020%2007:40:05%20GMT	https://contextual.media.net/dmedianet.js?cid=8CUN6154D	E:/My%20Web%20Sites/PS1/contextual.media.net/dmedianet9d1b.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:06	1316/1316	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%227ed9945ee6c726768490f9991568e605%22	https://academo.org/demos/logic-gate-simulator/symbols/not.svg	E:/My%20Web%20Sites/PS1/academo.org/demos/logic-gate-simulator/symbols/not.svg	(from https://academo.org/demos/logic-gate-simulator/)
13:10:11	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	E:/My%20Web%20Sites/PS1/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:12	48982/48982	U--MC-	200	updated ('OK')	application/javascript	date:Wed,%2022%20Apr%202020%2007:40:05%20GMT	https://apis.google.com/js/platform.js	E:/My%20Web%20Sites/PS1/apis.google.com/js/platform.js	(from https://academo.org/demos/logic-gate-simulator/)
13:10:12	27466/27466	U-----	200	untouched ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	E:/My%20Web%20Sites/PS1/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://academo.org/demos/logic-gate-simulator/)
